Publication,Type,Method,Period,Revenue,Subscribers,Subscriptions,ARPU,Cancelations,Reason,Voluntary Churn,Involuntary Churn
BD,Individual,Digital,2024-10-23,1384,1618,6472,0.8553770086526576,161,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1260,440,2200,2.8636363636363638,44,Expired CC,Yes,No
All,All,All,2024-10-17,1151,1848,3696,0.6228354978354979,184,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1097,907,5442,1.2094818081587653,90,Expired CC,No,Yes
All,All,All,2024-10-19,1194,1445,11560,0.8262975778546713,144,Deaseaed,Yes,No
All,All,All,2024-10-20,1137,1950,3900,0.583076923076923,195,Expired CC,Yes,Yes
All,All,All,2024-10-21,1027,860,3440,1.1941860465116279,86,Deaseaed,No,Yes
All,All,All,2024-10-22,1152,262,1310,4.396946564885496,26,Expired CC,Yes,No
All,All,All,2024-10-23,1384,1618,6472,0.8553770086526576,161,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1009,1918,7672,0.5260688216892596,191,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1423,789,2367,1.8035487959442331,78,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1489,2839,14195,0.5244804508629799,283,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1450,1888,1888,0.7680084745762712,188,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1209,127,635,9.51968503937008,12,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1208,488,488,2.4754098360655736,48,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1048,2704,8112,0.3875739644970414,270,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1094,2879,14395,0.3799930531434526,287,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1009,1918,7672,0.5260688216892596,191,Expired CC,Yes,No
All,All,All,2024-10-17,1423,789,2367,1.8035487959442331,78,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1489,2839,14195,0.5244804508629799,283,Expired CC,No,Yes
All,All,All,2024-10-19,1450,1888,1888,0.7680084745762712,188,Deaseaed,Yes,No
All,All,All,2024-10-20,1209,127,635,9.51968503937008,12,Expired CC,Yes,Yes
All,All,All,2024-10-21,1208,488,488,2.4754098360655736,48,Deaseaed,No,Yes
All,All,All,2024-10-22,1048,2704,8112,0.3875739644970414,270,Expired CC,Yes,No
All,All,All,2024-10-23,1094,2879,14395,0.3799930531434526,287,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1004,2414,12070,0.415907207953604,241,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1090,2280,13680,0.4780701754385965,228,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1020,1591,11137,0.6411062225015713,159,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1386,2173,4346,0.6378278877128394,217,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1211,2995,2995,0.40434056761268783,299,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1313,2209,19881,0.5943866002716162,220,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1308,749,6741,1.746328437917223,74,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1392,1963,15704,0.7091186958736627,196,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1004,2414,12070,0.415907207953604,241,Expired CC,Yes,No
All,All,All,2024-10-17,1090,2280,13680,0.4780701754385965,228,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1020,1591,11137,0.6411062225015713,159,Expired CC,No,Yes
All,All,All,2024-10-19,1386,2173,4346,0.6378278877128394,217,Deaseaed,Yes,No
All,All,All,2024-10-20,1211,2995,2995,0.40434056761268783,299,Expired CC,Yes,Yes
All,All,All,2024-10-21,1313,2209,19881,0.5943866002716162,220,Deaseaed,No,Yes
All,All,All,2024-10-22,1308,749,6741,1.746328437917223,74,Expired CC,Yes,No
All,All,All,2024-10-23,1392,1963,15704,0.7091186958736627,196,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1409,2365,18920,0.5957716701902749,236,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1295,2378,7134,0.5445752733389403,237,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1222,1497,8982,0.8162992651970608,149,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1338,2987,29870,0.44794107800468697,298,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1421,967,5802,1.469493278179938,96,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1100,710,4970,1.5492957746478873,71,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1442,813,4065,1.7736777367773677,81,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1406,173,1038,8.127167630057803,17,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1409,2365,18920,0.5957716701902749,236,Expired CC,Yes,No
All,All,All,2024-10-17,1295,2378,7134,0.5445752733389403,237,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1222,1497,8982,0.8162992651970608,149,Expired CC,No,Yes
All,All,All,2024-10-19,1338,2987,29870,0.44794107800468697,298,Deaseaed,Yes,No
All,All,All,2024-10-20,1421,967,5802,1.469493278179938,96,Expired CC,Yes,Yes
All,All,All,2024-10-21,1100,710,4970,1.5492957746478873,71,Deaseaed,No,Yes
All,All,All,2024-10-22,1442,813,4065,1.7736777367773677,81,Expired CC,Yes,No
All,All,All,2024-10-23,1406,173,1038,8.127167630057803,17,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1344,262,262,5.129770992366412,26,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1227,809,4854,1.5166872682323858,80,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1377,1843,14744,0.7471513836136734,184,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1465,1309,13090,1.1191749427043545,130,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1399,2784,22272,0.5025143678160919,278,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1047,1586,1586,0.6601513240857503,158,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1479,1770,15930,0.8355932203389831,177,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1163,827,2481,1.4062877871825876,82,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1344,262,262,5.129770992366412,26,Expired CC,Yes,No
All,All,All,2024-10-17,1227,809,4854,1.5166872682323858,80,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1377,1843,14744,0.7471513836136734,184,Expired CC,No,Yes
All,All,All,2024-10-19,1465,1309,13090,1.1191749427043545,130,Deaseaed,Yes,No
All,All,All,2024-10-20,1399,2784,22272,0.5025143678160919,278,Expired CC,Yes,Yes
All,All,All,2024-10-21,1047,1586,1586,0.6601513240857503,158,Deaseaed,No,Yes
All,All,All,2024-10-22,1479,1770,15930,0.8355932203389831,177,Expired CC,Yes,No
All,All,All,2024-10-23,1163,827,2481,1.4062877871825876,82,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1298,435,1305,2.9839080459770115,43,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1057,1752,15768,0.603310502283105,175,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1059,424,2120,2.4976415094339623,42,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1141,2328,18624,0.4901202749140893,232,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1134,1382,11056,0.8205499276410999,138,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1005,2055,6165,0.48905109489051096,205,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1024,513,513,1.996101364522417,51,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1343,1308,2616,1.0267584097859328,130,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1298,435,1305,2.9839080459770115,43,Expired CC,Yes,No
All,All,All,2024-10-17,1057,1752,15768,0.603310502283105,175,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1059,424,2120,2.4976415094339623,42,Expired CC,No,Yes
All,All,All,2024-10-19,1141,2328,18624,0.4901202749140893,232,Deaseaed,Yes,No
All,All,All,2024-10-20,1134,1382,11056,0.8205499276410999,138,Expired CC,Yes,Yes
All,All,All,2024-10-21,1005,2055,6165,0.48905109489051096,205,Deaseaed,No,Yes
All,All,All,2024-10-22,1024,513,513,1.996101364522417,51,Expired CC,Yes,No
All,All,All,2024-10-23,1343,1308,2616,1.0267584097859328,130,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1265,1425,9975,0.887719298245614,142,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1145,2879,14395,0.39770753733935393,287,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1122,703,4218,1.5960170697012803,70,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1001,1252,1252,0.799520766773163,125,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1277,2350,7050,0.5434042553191489,235,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1211,2492,12460,0.4859550561797753,249,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1462,2906,8718,0.5030970406056435,290,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1424,873,4365,1.6311569301260023,87,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1265,1425,9975,0.887719298245614,142,Expired CC,Yes,No
All,All,All,2024-10-17,1145,2879,14395,0.39770753733935393,287,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1122,703,4218,1.5960170697012803,70,Expired CC,No,Yes
All,All,All,2024-10-19,1001,1252,1252,0.799520766773163,125,Deaseaed,Yes,No
All,All,All,2024-10-20,1277,2350,7050,0.5434042553191489,235,Expired CC,Yes,Yes
All,All,All,2024-10-21,1211,2492,12460,0.4859550561797753,249,Deaseaed,No,Yes
All,All,All,2024-10-22,1462,2906,8718,0.5030970406056435,290,Expired CC,Yes,No
All,All,All,2024-10-23,1424,873,4365,1.6311569301260023,87,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1373,996,8964,1.3785140562248996,99,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1205,2075,20750,0.5807228915662651,207,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1398,2177,4354,0.6421681212677998,217,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1447,2039,12234,0.7096615988229524,203,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1206,2240,20160,0.5383928571428571,224,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1477,1103,6618,1.3390752493200362,110,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1103,1201,8407,0.9184013322231473,120,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1266,1702,13616,0.7438307873090482,170,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1373,996,8964,1.3785140562248996,99,Expired CC,Yes,No
All,All,All,2024-10-17,1205,2075,20750,0.5807228915662651,207,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1398,2177,4354,0.6421681212677998,217,Expired CC,No,Yes
All,All,All,2024-10-19,1447,2039,12234,0.7096615988229524,203,Deaseaed,Yes,No
All,All,All,2024-10-20,1206,2240,20160,0.5383928571428571,224,Expired CC,Yes,Yes
All,All,All,2024-10-21,1477,1103,6618,1.3390752493200362,110,Deaseaed,No,Yes
All,All,All,2024-10-22,1103,1201,8407,0.9184013322231473,120,Expired CC,Yes,No
All,All,All,2024-10-23,1266,1702,13616,0.7438307873090482,170,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1344,627,3135,2.1435406698564594,62,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1433,2528,20224,0.5668512658227848,252,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1088,2694,26940,0.4038604305864885,269,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1324,100,800,13.24,10,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1165,1399,13990,0.8327376697641172,139,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1468,153,459,9.594771241830065,15,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1337,2275,4550,0.5876923076923077,227,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1424,2682,2682,0.5309470544369873,268,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1344,627,3135,2.1435406698564594,62,Expired CC,Yes,No
All,All,All,2024-10-17,1433,2528,20224,0.5668512658227848,252,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1088,2694,26940,0.4038604305864885,269,Expired CC,No,Yes
All,All,All,2024-10-19,1324,100,800,13.24,10,Deaseaed,Yes,No
All,All,All,2024-10-20,1165,1399,13990,0.8327376697641172,139,Expired CC,Yes,Yes
All,All,All,2024-10-21,1468,153,459,9.594771241830065,15,Deaseaed,No,Yes
All,All,All,2024-10-22,1337,2275,4550,0.5876923076923077,227,Expired CC,Yes,No
All,All,All,2024-10-23,1424,2682,2682,0.5309470544369873,268,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1299,818,6544,1.5880195599022005,81,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1316,1397,12573,0.9420186113099499,139,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1083,2844,17064,0.3808016877637131,284,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1309,1630,4890,0.8030674846625767,163,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1269,813,1626,1.5608856088560885,81,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1363,2992,23936,0.455548128342246,299,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1079,351,351,3.074074074074074,35,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1001,2966,20762,0.33749157113958195,296,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1299,818,6544,1.5880195599022005,81,Expired CC,Yes,No
All,All,All,2024-10-17,1316,1397,12573,0.9420186113099499,139,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1083,2844,17064,0.3808016877637131,284,Expired CC,No,Yes
All,All,All,2024-10-19,1309,1630,4890,0.8030674846625767,163,Deaseaed,Yes,No
All,All,All,2024-10-20,1269,813,1626,1.5608856088560885,81,Expired CC,Yes,Yes
All,All,All,2024-10-21,1363,2992,23936,0.455548128342246,299,Deaseaed,No,Yes
All,All,All,2024-10-22,1079,351,351,3.074074074074074,35,Expired CC,Yes,No
All,All,All,2024-10-23,1001,2966,20762,0.33749157113958195,296,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1003,1499,2998,0.6691127418278853,149,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1232,2044,14308,0.6027397260273972,204,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1358,2797,2797,0.48552020021451553,279,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1105,2169,2169,0.5094513600737667,216,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1332,904,8136,1.4734513274336283,90,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1488,845,3380,1.7609467455621302,84,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1485,1781,3562,0.8338012352610893,178,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1050,1990,5970,0.5276381909547738,199,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1003,1499,2998,0.6691127418278853,149,Expired CC,Yes,No
All,All,All,2024-10-17,1232,2044,14308,0.6027397260273972,204,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1358,2797,2797,0.48552020021451553,279,Expired CC,No,Yes
All,All,All,2024-10-19,1105,2169,2169,0.5094513600737667,216,Deaseaed,Yes,No
All,All,All,2024-10-20,1332,904,8136,1.4734513274336283,90,Expired CC,Yes,Yes
All,All,All,2024-10-21,1488,845,3380,1.7609467455621302,84,Deaseaed,No,Yes
All,All,All,2024-10-22,1485,1781,3562,0.8338012352610893,178,Expired CC,Yes,No
All,All,All,2024-10-23,1050,1990,5970,0.5276381909547738,199,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1145,1351,2702,0.847520355292376,135,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1134,2921,17526,0.38822321122903114,292,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1094,1210,4840,0.9041322314049587,121,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1198,590,3540,2.0305084745762714,59,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1372,401,401,3.4214463840399003,40,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1030,974,5844,1.057494866529774,97,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1089,1653,11571,0.6588021778584392,165,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1005,1575,1575,0.638095238095238,157,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1145,1351,2702,0.847520355292376,135,Expired CC,Yes,No
All,All,All,2024-10-17,1134,2921,17526,0.38822321122903114,292,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1094,1210,4840,0.9041322314049587,121,Expired CC,No,Yes
All,All,All,2024-10-19,1198,590,3540,2.0305084745762714,59,Deaseaed,Yes,No
All,All,All,2024-10-20,1372,401,401,3.4214463840399003,40,Expired CC,Yes,Yes
All,All,All,2024-10-21,1030,974,5844,1.057494866529774,97,Deaseaed,No,Yes
All,All,All,2024-10-22,1089,1653,11571,0.6588021778584392,165,Expired CC,Yes,No
All,All,All,2024-10-23,1005,1575,1575,0.638095238095238,157,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1054,1049,5245,1.0047664442326025,104,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1123,555,3885,2.0234234234234236,55,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1092,2730,10920,0.4,273,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1201,1459,14590,0.8231665524331734,145,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1351,1940,11640,0.6963917525773196,194,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1439,218,1744,6.60091743119266,21,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1134,2561,12805,0.44279578289730576,256,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1492,579,4632,2.5768566493955096,57,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1054,1049,5245,1.0047664442326025,104,Expired CC,Yes,No
All,All,All,2024-10-17,1123,555,3885,2.0234234234234236,55,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1092,2730,10920,0.4,273,Expired CC,No,Yes
All,All,All,2024-10-19,1201,1459,14590,0.8231665524331734,145,Deaseaed,Yes,No
All,All,All,2024-10-20,1351,1940,11640,0.6963917525773196,194,Expired CC,Yes,Yes
All,All,All,2024-10-21,1439,218,1744,6.60091743119266,21,Deaseaed,No,Yes
All,All,All,2024-10-22,1134,2561,12805,0.44279578289730576,256,Expired CC,Yes,No
All,All,All,2024-10-23,1492,579,4632,2.5768566493955096,57,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1189,2654,23886,0.44800301431801054,265,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1098,2196,13176,0.5,219,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1339,1115,6690,1.2008968609865471,111,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1463,354,3540,4.132768361581921,35,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1421,1182,3546,1.2021996615905246,118,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1495,2830,28300,0.5282685512367491,283,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1205,2268,13608,0.531305114638448,226,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1205,1859,14872,0.6481979558902636,185,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1189,2654,23886,0.44800301431801054,265,Expired CC,Yes,No
All,All,All,2024-10-17,1098,2196,13176,0.5,219,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1339,1115,6690,1.2008968609865471,111,Expired CC,No,Yes
All,All,All,2024-10-19,1463,354,3540,4.132768361581921,35,Deaseaed,Yes,No
All,All,All,2024-10-20,1421,1182,3546,1.2021996615905246,118,Expired CC,Yes,Yes
All,All,All,2024-10-21,1495,2830,28300,0.5282685512367491,283,Deaseaed,No,Yes
All,All,All,2024-10-22,1205,2268,13608,0.531305114638448,226,Expired CC,Yes,No
All,All,All,2024-10-23,1205,1859,14872,0.6481979558902636,185,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1442,879,7032,1.640500568828214,87,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1406,1342,5368,1.0476900149031296,134,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1260,2493,17451,0.5054151624548736,249,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1110,2501,10004,0.4438224710115954,250,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1462,972,4860,1.5041152263374487,97,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1212,281,562,4.313167259786477,28,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1072,2954,5908,0.3628977657413676,295,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1208,1397,4191,0.8647100930565498,139,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1442,879,7032,1.640500568828214,87,Expired CC,Yes,No
All,All,All,2024-10-17,1406,1342,5368,1.0476900149031296,134,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1260,2493,17451,0.5054151624548736,249,Expired CC,No,Yes
All,All,All,2024-10-19,1110,2501,10004,0.4438224710115954,250,Deaseaed,Yes,No
All,All,All,2024-10-20,1462,972,4860,1.5041152263374487,97,Expired CC,Yes,Yes
All,All,All,2024-10-21,1212,281,562,4.313167259786477,28,Deaseaed,No,Yes
All,All,All,2024-10-22,1072,2954,5908,0.3628977657413676,295,Expired CC,Yes,No
All,All,All,2024-10-23,1208,1397,4191,0.8647100930565498,139,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1468,1180,11800,1.2440677966101694,118,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1167,861,3444,1.3554006968641115,86,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1038,992,3968,1.0463709677419355,99,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1443,1662,13296,0.868231046931408,166,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1346,134,804,10.044776119402986,13,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1017,1691,5073,0.6014192785334121,169,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1258,2033,18297,0.6187899655681259,203,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1071,531,3186,2.016949152542373,53,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1468,1180,11800,1.2440677966101694,118,Expired CC,Yes,No
All,All,All,2024-10-17,1167,861,3444,1.3554006968641115,86,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1038,992,3968,1.0463709677419355,99,Expired CC,No,Yes
All,All,All,2024-10-19,1443,1662,13296,0.868231046931408,166,Deaseaed,Yes,No
All,All,All,2024-10-20,1346,134,804,10.044776119402986,13,Expired CC,Yes,Yes
All,All,All,2024-10-21,1017,1691,5073,0.6014192785334121,169,Deaseaed,No,Yes
All,All,All,2024-10-22,1258,2033,18297,0.6187899655681259,203,Expired CC,Yes,No
All,All,All,2024-10-23,1071,531,3186,2.016949152542373,53,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1475,1946,11676,0.7579650565262076,194,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1493,1791,16119,0.8336125069793412,179,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1261,2502,10008,0.5039968025579536,250,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1471,674,1348,2.1824925816023737,67,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1173,159,477,7.377358490566038,15,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1481,2853,17118,0.5191026989134244,285,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1041,434,434,2.3986175115207375,43,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1073,2808,5616,0.3821225071225071,280,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1475,1946,11676,0.7579650565262076,194,Expired CC,Yes,No
All,All,All,2024-10-17,1493,1791,16119,0.8336125069793412,179,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1261,2502,10008,0.5039968025579536,250,Expired CC,No,Yes
All,All,All,2024-10-19,1471,674,1348,2.1824925816023737,67,Deaseaed,Yes,No
All,All,All,2024-10-20,1173,159,477,7.377358490566038,15,Expired CC,Yes,Yes
All,All,All,2024-10-21,1481,2853,17118,0.5191026989134244,285,Deaseaed,No,Yes
All,All,All,2024-10-22,1041,434,434,2.3986175115207375,43,Expired CC,Yes,No
All,All,All,2024-10-23,1073,2808,5616,0.3821225071225071,280,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1294,1654,8270,0.7823458282950423,165,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1169,2318,2318,0.5043140638481449,231,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1204,295,1475,4.081355932203389,29,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1423,2567,7701,0.5543435917413323,256,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1168,1781,3562,0.6558113419427288,178,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1221,1812,16308,0.6738410596026491,181,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1036,1010,8080,1.0257425742574258,101,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1084,1113,2226,0.9739442946990117,111,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1294,1654,8270,0.7823458282950423,165,Expired CC,Yes,No
All,All,All,2024-10-17,1169,2318,2318,0.5043140638481449,231,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1204,295,1475,4.081355932203389,29,Expired CC,No,Yes
All,All,All,2024-10-19,1423,2567,7701,0.5543435917413323,256,Deaseaed,Yes,No
All,All,All,2024-10-20,1168,1781,3562,0.6558113419427288,178,Expired CC,Yes,Yes
All,All,All,2024-10-21,1221,1812,16308,0.6738410596026491,181,Deaseaed,No,Yes
All,All,All,2024-10-22,1036,1010,8080,1.0257425742574258,101,Expired CC,Yes,No
All,All,All,2024-10-23,1084,1113,2226,0.9739442946990117,111,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1138,2271,11355,0.5011008366358433,227,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1288,782,4692,1.6470588235294117,78,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1057,2826,28260,0.3740268931351734,282,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1462,261,783,5.601532567049809,26,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1259,2749,19243,0.457984721716988,274,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1068,2101,8404,0.5083293669681104,210,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1499,1634,13072,0.9173806609547124,163,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1200,1106,6636,1.0849909584086799,110,Deaseaed,Yes,Yes
